
09:09:53.566 INFO ParseArchs(): Active architecture: i386

09:09:53.567 WARNING ExecuteTask(): org.intel.xrt_builder.Algorithms.BuildAppAlgorithm

09:09:53.569 INFO start(): Running command line: "[xcodebuild ARCHS=i386  -configuration Debug -sdk iphonesimulator8.4 -target Russian Checkers -project /Users/echuraev/Workspace/Projects/RussianCheckers/ios/xcode/Russian Checkers.xcodeproj]"

09:09:54.049 INFO run(): module "runXCodeBuild": out_stream: "Build settings from command line:"

09:09:54.049 INFO run(): module "runXCodeBuild": out_stream: "    ARCHS = i386 "

09:09:54.050 INFO run(): module "runXCodeBuild": out_stream: "    SDKROOT = iphonesimulator8.4"

09:09:54.050 INFO run(): module "runXCodeBuild": out_stream: ""

09:09:54.140 INFO run(): module "runXCodeBuild": out_stream: "=== BUILD TARGET Russian Checkers OF PROJECT Russian Checkers WITH CONFIGURATION Debug ==="

09:09:54.140 INFO run(): module "runXCodeBuild": out_stream: ""

09:09:54.140 INFO run(): module "runXCodeBuild": out_stream: "Check dependencies"

09:09:54.494 INFO run(): module "runXCodeBuild": out_stream: ""

09:09:54.494 INFO run(): module "runXCodeBuild": out_stream: "Write auxiliary files"

09:09:54.494 INFO run(): module "runXCodeBuild": out_stream: "/bin/mkdir -p /Users/echuraev/Workspace/Projects/RussianCheckers/ios/build/xcode/Russian\ Checkers.build/Debug-iphonesimulator/Russian\ Checkers.build"

09:09:54.494 INFO run(): module "runXCodeBuild": out_stream: "write-file /Users/echuraev/Workspace/Projects/RussianCheckers/ios/build/xcode/Russian\ Checkers.build/Debug-iphonesimulator/Russian\ Checkers.build/Script-84DE782A397F3FE7046E28CA.sh"

09:09:54.494 INFO run(): module "runXCodeBuild": out_stream: "chmod 0755 /Users/echuraev/Workspace/Projects/RussianCheckers/ios/build/xcode/Russian\ Checkers.build/Debug-iphonesimulator/Russian\ Checkers.build/Script-84DE782A397F3FE7046E28CA.sh"

09:09:54.494 INFO run(): module "runXCodeBuild": out_stream: "/bin/mkdir -p /Users/echuraev/Workspace/Projects/RussianCheckers/ios/build/xcode/Russian\ Checkers.build/Debug-iphonesimulator/Russian\ Checkers.build/Objects-normal/i386"

09:09:54.494 INFO run(): module "runXCodeBuild": out_stream: "write-file /Users/echuraev/Workspace/Projects/RussianCheckers/ios/build/xcode/Russian\ Checkers.build/Debug-iphonesimulator/Russian\ Checkers.build/Objects-normal/i386/Russian\ Checkers.LinkFileList"

09:09:54.494 INFO run(): module "runXCodeBuild": out_stream: "write-file /Users/echuraev/Workspace/Projects/RussianCheckers/ios/build/xcode/Russian\ Checkers.build/Debug-iphonesimulator/Russian\ Checkers.build/Russian\ Checkers-all-non-framework-target-headers.hmap"

09:09:54.494 INFO run(): module "runXCodeBuild": out_stream: "write-file /Users/echuraev/Workspace/Projects/RussianCheckers/ios/build/xcode/Russian\ Checkers.build/Debug-iphonesimulator/Russian\ Checkers.build/Russian\ Checkers.hmap"

09:09:54.494 INFO run(): module "runXCodeBuild": out_stream: "write-file /Users/echuraev/Workspace/Projects/RussianCheckers/ios/build/xcode/Russian\ Checkers.build/Debug-iphonesimulator/Russian\ Checkers.build/Russian\ Checkers-generated-files.hmap"

09:09:54.495 INFO run(): module "runXCodeBuild": out_stream: "write-file /Users/echuraev/Workspace/Projects/RussianCheckers/ios/build/xcode/Russian\ Checkers.build/Debug-iphonesimulator/Russian\ Checkers.build/Russian\ Checkers-project-headers.hmap"

